id,target
300000,0.362
300001,0.429
300002,0.333
300003,0.42000000000000004
300004,0.735
300005,0.374
300006,0.458
300007,0.246
300008,0.445
300009,0.42400000000000004
300010,0.28500000000000003
300011,0.339
300012,0.479
300013,0.34800000000000003
300014,0.304
300015,0.34199999999999997
300016,0.203
300017,0.5720000000000001
300018,0.48900000000000005
300019,0.5379999999999999
300020,0.34500000000000003
300021,0.404
300022,0.157
300023,0.15499999999999997
300024,0.368
300025,0.175
300026,0.176
300027,0.22599999999999998
300028,0.188
300029,0.461
300030,0.23199999999999998
300031,0.301
300032,0.271
300033,0.229
300034,0.213
300035,0.4790000000000001
300036,0.259
300037,0.133
300038,0.445
300039,0.62
300040,0.191
300041,0.314
300042,0.221
300043,0.21999999999999997
300044,0.344
300045,0.28200000000000003
300046,0.13499999999999998
300047,0.42000000000000004
300048,0.588
300049,0.302
300050,0.282
300051,0.496
300052,0.29300000000000004
300053,0.13
300054,0.5860000000000001
300055,0.24300000000000002
300056,0.16199999999999998
300057,0.094
300058,0.461
300059,0.421
300060,0.215
300061,0.491
300062,0.312
300063,0.571
300064,0.20800000000000002
300065,0.44000000000000006
300066,0.28
300067,0.32499999999999996
300068,0.42400000000000004
300069,0.7380000000000001
300070,0.43899999999999995
300071,0.255
300072,0.28300000000000003
300073,0.308
300074,0.255
300075,0.156
300076,0.43100000000000005
300077,0.196
300078,0.46099999999999997
300079,0.21000000000000002
300080,0.11299999999999999
300081,0.481
300082,0.75
300083,0.23700000000000002
300084,0.37700000000000006
300085,0.29700000000000004
300086,0.395
300087,0.24899999999999997
300088,0.366
300089,0.314
300090,0.426
300091,0.473
300092,0.29100000000000004
300093,0.16300000000000003
300094,0.46099999999999997
300095,0.43200000000000005
300096,0.22400000000000003
300097,0.43
300098,0.175
300099,0.24500000000000002
300100,0.11599999999999999
300101,0.56
300102,0.305
300103,0.179
300104,0.37
300105,0.233
300106,0.352
300107,0.296
300108,0.357
300109,0.17300000000000001
300110,0.3
300111,0.034999999999999996
300112,0.293
300113,0.41100000000000003
300114,0.26
300115,0.23599999999999993
300116,0.582
300117,0.395
300118,0.466
300119,0.358
300120,0.196
300121,0.40199999999999997
300122,0.33999999999999997
300123,0.44299999999999995
300124,0.24
300125,0.406
300126,0.308
300127,0.499
300128,0.44000000000000006
300129,0.5450000000000002
300130,0.322
300131,0.238
300132,0.32100000000000006
300133,0.42800000000000005
300134,0.496
300135,0.238
300136,0.05
300137,0.525
300138,0.727
300139,0.40599999999999997
300140,0.41500000000000004
300141,0.119
300142,0.23199999999999998
300143,0.422
300144,0.34800000000000003
300145,0.258
300146,0.515
300147,0.195
300148,0.379
300149,0.172
300150,0.16
300151,0.08499999999999999
300152,0.209
300153,0.39299999999999996
300154,0.384
300155,0.233
300156,0.376
300157,0.092
300158,0.256
300159,0.21400000000000002
300160,0.24299999999999997
300161,0.3
300162,0.267
300163,0.262
300164,0.22599999999999998
300165,0.29100000000000004
300166,0.16099999999999998
300167,0.163
300168,0.213
300169,0.192
300170,0.3990000000000001
300171,0.6529999999999999
300172,0.129
300173,0.157
300174,0.119
300175,0.266
300176,0.30999999999999994
300177,0.538
300178,0.251
300179,0.248
300180,0.338
300181,0.213
300182,0.7050000000000001
300183,0.6180000000000001
300184,0.392
300185,0.471
300186,0.16
300187,0.20400000000000001
300188,0.48200000000000004
300189,0.242
300190,0.351
300191,0.45199999999999996
300192,0.369
300193,0.043000000000000003
300194,0.311
300195,0.101
300196,0.471
300197,0.364
300198,0.18899999999999997
300199,0.24
300200,0.24699999999999997
300201,0.38
300202,0.37299999999999994
300203,0.371
300204,0.43200000000000005
300205,0.46900000000000003
300206,0.358
300207,0.298
300208,0.35800000000000004
300209,0.328
300210,0.34500000000000003
300211,0.304
300212,0.152
300213,0.39699999999999996
300214,0.236
300215,0.20600000000000002
300216,0.17900000000000002
300217,0.502
300218,0.07700000000000001
300219,0.08
300220,0.265
300221,0.213
300222,0.033999999999999996
300223,0.37
300224,0.275
300225,0.185
300226,0.361
300227,0.21200000000000002
300228,0.18500000000000003
300229,0.242
300230,0.509
300231,0.221
300232,0.196
300233,0.611
300234,0.259
300235,0.388
300236,0.203
300237,0.30999999999999994
300238,0.18000000000000002
300239,0.213
300240,0.11800000000000002
300241,0.36
300242,0.306
300243,0.533
300244,0.43899999999999995
300245,0.236
300246,0.571
300247,0.24
300248,0.5269999999999999
300249,0.08499999999999999
300250,0.42700000000000005
300251,0.732
300252,0.124
300253,0.37200000000000005
300254,0.5599999999999999
300255,0.292
300256,0.33899999999999997
300257,0.18899999999999997
300258,0.311
300259,0.42400000000000004
300260,0.678
300261,0.379
300262,0.261
300263,0.542
300264,0.44800000000000006
300265,0.225
300266,0.396
300267,0.377
300268,0.253
300269,0.43199999999999994
300270,0.524
300271,0.375
300272,0.394
300273,0.309
300274,0.646
300275,0.25
300276,0.395
300277,0.6609999999999999
300278,0.16
300279,0.123
300280,0.279
300281,0.148
300282,0.28500000000000003
300283,0.08800000000000001
300284,0.198
300285,0.453
300286,0.081
300287,0.24300000000000002
